Etymon pt-PT	hiTenTen21 Relative (1)	hiTenTen21 Absolute (1)	Etymon pt-PT New Spelling	DALGADO Pt-Lemma	Etymology	Etymology Free	Alternative Etymology (1)	Headword	Transliteration	Urdu 	Part of Speech	Pronunciation	Gender	Definition	Domain	Lexical field	Grammar	direct singular	oblique singular	vocative singular	direct plural	oblique plural	vocative plural	Etymon pt-PT_1
bacia ou bacio				bacia ou bacio	bacia ou bacio (Source: Dalgado); Sanskrit भाजन https://kosha.app/word/sa/%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%A8 (Source: Dalgado)	bacia ou bacio (Source: Dalgado); Sanskrit भाजन  (Source: Dalgado)	Sanskrit भाजन https://kosha.app/word/sa/%E0%A4%AD%E0%A4%BE%E0%A4%9C%E0%A4%A8 (Source: Dalgado)	बासन	bāsan	باسن	noun	(Delhi) IPA(key): /bɑː.sən/, [bäː.sɐ̃n]	m.	pot; any container 	household	tableware								arrátel
bafo				? bafo	? bafo (Source: Dalgado); Sanksrit वाष्प https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AA#Sanskrit (Source: Dalgado)	? bafo (Source: Dalgado); Sanksrit वाष्प  (Source: Dalgado)	Sanksrit वाष्प https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%BE%E0%A4%B7%E0%A5%8D%E0%A4%AA#Sanskrit (Source: Dalgado)	भाप	bhāp	بھاپ	noun		m.	steam, water vapour  & vapour, gas	sensory perception	smell								ata
baixel				? baixel	? baixel (Source: Dalgado); Arabic بغلة https://en.wiktionary.org/wiki/%D8%A8%D8%BA%D9%84%D8%A9 (Source: Dalgado)	? baixel (Source: Dalgado); Arabic بغلة  (Source: Dalgado)	Arabic بغلة https://en.wiktionary.org/wiki/%D8%A8%D8%BA%D9%84%D8%A9 (Source: Dalgado)	बजरा	bajrā	بجرا	noun		m.	A kind of boat commonly used for travelling; a large kind of pleasure-boat (round-bottomed and keel-less, — commonly called 'budgerow').										bacia ou bacio
balde	4.31	3,889		balde	balde (Source: Dalgado)	balde (Source: Dalgado)		बालटी	bālaṭī	بالٹی	noun	(Delhi Hindi) IPA(key): /bɑːl.ʈiː/, [bäːl.ʈiː]	f.	bucket, container	objects	domestic items	fem ī-stem	बालटी	बालटी	बालटी	बालटियाँ	बालटियों	बालटियो	bafo
baptismo	1.37	1231		? baptismo	? baptismo (Source: Dalgado); English baptism (Source: Dalgado)	? baptismo (Source: Dalgado); English baptism (Source: Dalgado)	English baptism (Source: Dalgado)	बाप्तिस्मा	bāptismā	بمبہ	noun	(Delhi Hindi) IPA(key): /bɑːp.t̪ɪs.mɑː/, [bäːp.t̪ɪs.mäː]	m. 	(Christianity) baptism	religion	practices, beliefs and rituals	masc ā-stem	बाप्तिस्मा	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मे	बाप्तिस्मों	बाप्तिस्मो	baixel
basta				basta	basta (Source: Dalgado); Persian بس https://en.wiktionary.org/wiki/%D8%A8%D8%B3#Persian (Source: Dalgado; Wiktionary; McGregor)	basta (Source: Dalgado); Persian بس  (Source: Dalgado; Wiktionary; McGregor)	Persian بس https://en.wiktionary.org/wiki/%D8%A8%D8%B3#Persian (Source: Dalgado; Wiktionary; McGregor)	बस	bas	بس	adv.			merely, only										balde
beringela				beringela	beringela (Source: Dalgado); Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡 https://en.wiktionary.org/wiki/%F0%91%80%AF%F0%91%80%B8%F0%91%80%87%F0%91%80%81%F0%91%80%95%F0%91%80%A1#Prakrit, from Sanskrit वङ्गन https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%A8#Sanskrit (Source: Wiktionary);  Persian بادنجان https://en.wiktionary.org/wiki/%D8%A8%D8%A7%D8%AF%D9%86%D8%AC%D8%A7%D9%86#Persian (Source: Soares,  Wiktionary) 	beringela (Source: Dalgado); Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡  from Sanskrit वङ्गन  (Source: Wiktionary);  Persian بادنجان  (Source: Soares,  Wiktionary) 	Prakrit 𑀯𑀸𑀇𑀁𑀕𑀡 https://en.wiktionary.org/wiki/%F0%91%80%AF%F0%91%80%B8%F0%91%80%87%F0%91%80%81%F0%91%80%95%F0%91%80%A1#Prakrit, from Sanskrit वङ्गन https://en.wiktionary.org/wiki/%E0%A4%B5%E0%A4%99%E0%A5%8D%E0%A4%97%E0%A4%A8#Sanskrit (Source: Wiktionary);  Persian بادنجان https://en.wiktionary.org/wiki/%D8%A8%D8%A7%D8%AF%D9%86%D8%AC%D8%A7%D9%86#Persian (Source: Soares,  Wiktionary) 	बैंगन	baiṅgan	بینگن	noun	(Delhi) IPA(key): /bɛːŋ.ɡən/, [bɛ̃ːŋ.ɡɐ̃n]	m.	eggplant, aubergine, brinjal										baptismo
biscoito				biscoito	biscoito (Source: Dalgado); English biscuit (Source: Wiktionary)	biscoito (Source: Dalgado); English biscuit (Source: Wiktionary)	English biscuit (Source: Wiktionary)	बिस्कुट	biskuṭ	بسکٹ	noun	(Delhi) IPA(key): /bɪs.kʊʈ/	m.	biscuit, cookie, cracker	culinary	food / baked goods								basta
bomba	0.17	154		bomba	bomba (Source: Dalgado)	bomba (Source: Dalgado)		बंबा	bambā	بمبہ	noun	(Delhi) IPA(key): /bəm.bɑː/, [bɐ̃m.bäː]	m.	pump; water pump & channel, narrow river, creek	military	weapons, explosives, devices								beringela
botão				botão	botão (Source: Dalgado); English button (Source: Dasa)	botão (Source: Dalgado); English button (Source: Dasa)	English button (Source: Dasa)	बटन	baṭan	بٹن	noun		m.	button (fastener) &  button (presser)										biscoito
botelha	24.63	22,198		? botelha	? botelha (Source: Dalgado); English bottle (Source: Dalgado)	? botelha (Source: Dalgado); English bottle (Source: Dalgado)	English bottle (Source: Dalgado)	बोतल	bōtal	بوتَل	noun	IPA(key): [ˈbo(ː)t̪əl̪]	f.	bottle	objects	drinkware	fem cons-stem	बोतल	बोतल	बोतल	बोतलें	बोतलों	बोतलो	bomba
caju	7.87	7090		NA				काजू	kājū	کاجو⁩	noun	(Delhi Hindi) IPA(key): /kɑː.d͡ʒuː/, [käː.d͡ʒuː]	m.	cashew nut	botany	fruits	masc ū-stem	काजू	काजू	काजू	काजू	काजुओं	काजुओ	botão
calafate				calafate	calafate (Source: Dalgado); Arabic (Source: Dalgado)	calafate (Source: Dalgado); Arabic (Source: Dalgado)	Arabic (Source: Dalgado)	कलापट्टी	kalāpaṭṭā		noun		m.	caulker	nautics	nautical tools, components and materials								botelha
câmara	95.94	86,477		câmara	câmara (Source: Dalgado)	câmara (Source: Dalgado)		कमरा	kamarā	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kəm.ɾɑː/, [kɐ̃m.ɾäː]	m.	room	architecture	buildings	masc ā-stem	कमरा	कमरे	कमरे	कमरे	कमरों	कमरो	caju
camisa				camisa	camisa (Source: Dalgado); Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	camisa (Source: Dalgado); Persian قمیص  (Source: Wiktionary); Arabic (Source: Dalgado)	Persian قمیص https://en.wiktionary.org/wiki/%D9%82%D9%85%DB%8C%D8%B5#Persian (Source: Wiktionary); Arabic (Source: Dalgado)	क़मीज़	qamīz	قمیض	noun	(Delhi) IPA(key): /qə.miːz/, [qɐ.miːz], /kə.miːd͡ʒ/, [kɐ.miːd͡ʒ]	f.	shirt	clothing	clothing items								calafate
campo				campo	campo (Source: Dalgado); English camp (Source: McGregor)	campo (Source: Dalgado); English camp (Source: McGregor)	English camp (Source: McGregor)	कंपू	kampū		noun	(Delhi) IPA(key): /kəm.puː/, [kɐ̃m.puː]	m.	encampment & tent & cantonment & camp 										câmara
candil				? candil	? candil (Source: Dalgado); Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	? candil (Source: Dalgado); Arabic قنديل  (Source: Dalgado)	Arabic قنديل https://en.wiktionary.org/wiki/%D9%82%D9%86%D8%AF%D9%8A%D9%84#Arabic (Source: Dalgado)	कंदील	kandīl	قندیل	noun		f.	a lantern	objects	domestic items / lighting								camisa
capitão				capitão	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	capitão (Source: Dalgado); English Captain (Source: Wiktionary)	English Captain (Source: Wiktionary)	कप्तान	kaptān	کپتان	noun	(Delhi) IPA(key): /kəp.t̪ɑːn/, [kɐp.t̪ä̃ːn]	m.	captain (of a ship)	nautics	military ranks and titles								campo
carabina				? carabina	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	? carabina (Source: Dalgado); French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	French carabine (Source: Dalgado); Persian qarābīn (Source: McGregor)	कारबाइन	kaṛābīn	کاربائن	noun		f.	a carbine										candil
carraguem	<0.01	2		NA	NA (Source: Dalgado); 			किराँची	kirām̐cī	کِران٘چی	noun	(Delhi Hindi) IPA(key): /kɪ.ɾɑ̃ː.t͡ʃiː/, [kɪ.ɾä̃ː.t͡ʃiː]	f.	a cart used to carry loads, carriage of goods train & bullock cart			fem ī-stem	किराँची	किराँची	किराँची	किराँचियाँ	किराँचियों	किराँचियो	capitão
cartucho				? cartucho	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	? cartucho (Source: Dalgado); French cartouche (Source: McGregor)	French cartouche (Source: McGregor)	कारतूस	kārtūs	کارتوس	noun	(Delhi) IPA(key): /kɑːɾ.t̪uːs/, [käːɾ.t̪uːs]	m.	(firearms) cartridge										carabina
casa				casa	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	casa (Source: Dalgado); Sanskrit काचः 'a loop' (Source: Platts)	Sanskrit काचः 'a loop' (Source: Platts)	काज	kāj	کاج	noun	(Delhi) IPA(key): /kɑːd͡ʒ/, [käːd͡ʒ]	m.	a buttonhole										carraguem
católico				católico	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	católico (Source: Dalgado); English Catholic (Source: Dalgado, Wiktionary)	English Catholic (Source: Dalgado, Wiktionary)	कैथोलिक	kaitholik	کیتھولک	noun	(Delhi) IPA(key): /kɛː.t̪ʰoː.lɪk/	m. or f.	Catholic, Roman Catholic	religion	practices, beliefs and rituals								cartucho
chá				chá	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	chá (Source: Dalgado); Persian [P. cāʾe] (Source: McGregor)	Persian [P. cāʾe] (Source: McGregor)	चाय	cāy	چائے	noun	(Delhi) IPA(key): /t͡ʃɑːj/, [t͡ʃäːj], /t͡ʃɑː.eː/, [t͡ʃäː.eː]	f.	tea (plant, beverage) & cup of tea	culinary	drinks								casa
chapa				? chapa	? chapa (Source: Dalgado)	? chapa (Source: Dalgado)		छापा		چھاپہ	noun			a seal, impression, stamp, or brand	materials	construction								católico
chave	7.86	7,089		chave	chave (Source: Dalgado)	chave (Source: Dalgado)		चाबी	cābī	چابی	noun	(Delhi Hindi) IPA(key): /t͡ʃɑː.biː/, [t͡ʃäː.biː]	f.	key 	objects	artifact	fem ī-stem	चाबी	चाबी	चाबी	चाबियाँ	चाबियों	चाबियो	chá
cocheiro				cocheiro	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	cocheiro (Source: Dalgado); English coachman (Source: Dalgado)	English coachman (Source: Dalgado)	कोचवान	kochvān	کوچبان	noun		m.	a coachman										cifra
coronel				coronel	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	coronel (Source: Dalgado); English colonel (Source: D, Wiktionary)	English colonel (Source: D, Wiktionary)	कर्नल	karnal	کرنل	noun		m.	colonel	military	military ranks and titles								coche
couve	7.8	6,775		couve	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	couve (Source: Dalgado); Sanksrit गोजीह्विका (Source: Wiktionary)	Sanksrit गोजीह्विका (Source: Wiktionary)	गोभी	gobhī	گوبھی	noun	(Delhi Hindi) IPA(key): /ɡoː.bʱiː/	f.	cabbage & cauliflower	food	food / vegetables	fem ī-stem	गोभी	गोभी	गोभी	गोभियाँ	गोभियों	गोभियो	cocheiro
cristão	0.06	54		NA	NA (Source: Dalgado); 			क्रिस्तान	kristāna	کِرسٹان	noun	(Delhi Hindi) IPA(key): /kɾɪs.t̪ɑːn/, [kɾɪs.t̪ä̃ːn]	m. or f.	christian	religion	practices, beliefs and rituals								coronel
cruz	0.82	735		cruz	cruz (Source: Dalgado)	cruz (Source: Dalgado)		क्रूस	krūsa	⁧کْرُوس⁩	noun	(Delhi Hindi) IPA(key): /kɾuːs/	m.	the cross on which Jesus Christ was crucified & crucifix, cross	religion	practices, beliefs and rituals	masc cons-stem	क्रूस	क्रूस	क्रूस	क्रूस	क्रूसों	क्रूसो	couve
cunha				cunha	cunha (Source: Dalgado)	cunha (Source: Dalgado)		कुनिया			noun			wedge										cristão
da Silva	0.06	54			 (Source: Dalgado); 			डीसिल्वा	ḍīsilvā	⁧ڈی سلوا⁩	proper noun	(Delhi Hindi) IPA(key): /ɖiː.sɪl.ʋɑː/, [ɖiː.sɪl.ʋäː]		a surname from Portuguese, equivalent to English D'Silva or Desilva										cruz
dezembro	172.66	155,631		NA	English December (Source: McGregor)	English December (Source: McGregor)	English December (Source: McGregor)	दिसंबर	disambara	دسمبر⁩ 	noun	(Delhi Hindi) IPA(key): /d̪ɪ.səm.bəɾ/, [d̪ɪ.sɐ̃m.bɐɾ]	m.	December	calendar	month	masc cons-stem	दिसंबर	दिसंबर	दिसंबर	दिसंबर	दिसंबरों	दिसंबरो	cunha
espada	12.07	10,882		espada	espada (Source: Dalgado)	espada (Source: Dalgado)		इस्पात	ispāta	اسپات	noun	(Delhi Hindi) IPA(key): /ɪs.pɑːt̪/, [ɪs.päːt̪]	m.	steel		weapons, explosives, devices								da Silva
espital	279.86	252,251		NA	espital (Source: Wiktionary); English hospital (Source: McGregor)	espital (Source: Wiktionary); English hospital (Source: McGregor)	English hospital (Source: McGregor)	अस्पताल	aspatāla	اَسْپَتال⁩	noun	(Delhi Hindi) IPA(key): /əs.pə.t̪ɑːl/, [ɐs.pɐ.t̪äːl]	m.	hospital	healthcare	medical institutions	masc cons-stem	अस्पताल	अस्पताल	अस्पताल	अस्पताल	अस्पतालों	अस्पतालो	gudão
estábulo	0.62	556		NA	estábulo  (Source: McGregor); Arabic ist̤abal (Source: McGregor)	estábulo  (Source: McGregor); Arabic ist̤abal (Source: McGregor)	Arabic ist̤abal (Source: McGregor)	अस्तबल	astabala	اَصْطَبَل	noun	(Delhi Hindi) IPA(key): /əs.t̪ə.bəl/, [ɐs.t̪ɐ.bɐl]	m.	stable (for a horse)	animal husbandry	animal housing	masc cons-stem	अस्तबल	अस्तबल	अस्तबल	अस्तबल	अस्तबलों	अस्तबलो	dezembro
estirar	0.17	155		estirar	estirar (Source: Dalgado)	estirar (Source: Dalgado)		इस्तरी	istarī	استری	noun	(Delhi Hindi) IPA(key): /ɪs.t̪ɾiː/	f.	iron, press			fem ī-stem	इस्त्री	इस्त्री	इस्त्री	इस्त्रियाँ	इस्त्रियों	इस्त्रियो	espada
falto				falto	falto (Source: Dalgado)	falto (Source: Dalgado)		फ़ालतू	fāltū	فالتو	adj.	(Delhi) IPA(key): /fɑːl.t̪uː/, [fäːl.t̪uː], /pʰɑːl.t̪uː/, [pʰäːl.t̪uː]		unnecessary, pointless & bad; not nice; of poor quality & useless, irrelevant, good-for-nothing (used for someone)										estábulo
fita		0		fita	fita (Source: Dalgado)	fita (Source: Dalgado)		फ़ीता	fītā	 ⁧فیتہ⁩	noun	(Delhi Hindi) IPA(key): /fiː.t̪ɑː/, [fiː.t̪äː], /pʰiː.t̪ɑː/, [pʰiː.t̪äː]	m.	lace; shoelace & tape; tape measure & ribbon			masc ā-stem	फ़ीता	फ़ीते	फ़ीते	फ़ीते	फ़ीतों	फ़ीतो	estirar
forma				forma	forma (Source: Dalgado)	forma (Source: Dalgado)		फ़र्मा	formā		noun			in the sense of ‘mould, appearance’										falto
gentio	<0.01	2		NA				जेंटू	jẽṭū	⁧جینٹو⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒẽː.ʈuː/	m.	Gentoo	religion	practices, beliefs and rituals	masc ū-stem	जेंटू	जेंटू	जेंटू	जेंटू	जेंटुओं	जेंटुओ	fita
gudão				gudão	gudão (Source: Dalgado); Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	gudão (Source: Dalgado); Bengali gudām  (Source: Wiktionary, McGregor)	Bengali gudām https://en.wiktionary.org/wiki/%E0%A6%97%E0%A7%81%E0%A6%A6%E0%A6%BE%E0%A6%AE#Bengali (Source: Wiktionary, McGregor)	गोदाम	godām	گودام	noun		m.	storage, godown										forma
holandês	<0.01	1						ओलंदेज़	olandez	ولندیز	noun	(Delhi Hindi) IPA(key): /oː.lən.d̪eːz/, [oː.lɐ̃n̪.d̪eːz], /oː.lən.d̪eːd͡ʒ/, [oː.lɐ̃n̪.d̪eːd͡ʒ]	m. or f.	(dated) Dutchman; citizen of Holland 	geography	nationalities and ethnic groups								gentio
igreja	0.68	609		igreja	igreja (Source: Dalgado)	igreja (Source: Dalgado)		गिरजा	girajā	⁧گِرْجا⁩	noun	(Delhi Hindi) IPA(key): /ɡɪɾ.d͡ʒɑː/, [ɡɪɾ.d͡ʒäː]	m.	church & chapel	religion	religious buildings	masc ā-stem	गिरजा	गिरजे	गिरजे	गिरजे	गिरजों	गिरजो	holandês
inglês	2.58	2,327		inglês	inglês (Source: Dalgado)	inglês (Source: Dalgado)		अँग्रेज़	am̐grēz	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	geography	nationalities and ethnic groups								hospital
inglês				inglês	inglês (Source: Dalgado)	inglês (Source: Dalgado)		अंग्रेज़	aṅgrez	انگریز	noun	(Delhi Hindi) IPA(key): /əŋ.ɡɾeːz/, [ɐ̃ŋ.ɡɾeːz], /əŋ.ɡɾeːd͡ʒ/, [ɐ̃ŋ.ɡɾeːd͡ʒ]	m. or f.	English person (Englishman or Englishwoman)	geography	nationalities and ethnic groups								igreja
janela				janela	janela (Source: Dalgado)	janela (Source: Dalgado)		जंगला	jaṅglā	جَن٘گْلا⁩	noun	(Delhi Hindi) IPA(key): /d͡ʒəŋ.ɡlɑː/, [d͡ʒɐ̃ŋ.ɡläː]	m.	fencing, railing & grille-fitted window	architecture and building	medical institutions	masc ā-stem	जंगला	जंगले	जंगले	जंगले	जंगलों	जंगलो	inglês
jogar				jogar	jogar (Source: Dalgado);  Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	 Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	जुआ	juā	جوا	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː/, [d͡ʒʊ.äː]	m.	gambling	architecture	building components								jalapa
jogar				jogar	jogar (Source: Dalgado);  Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	jogar (Source: Dalgado);  Sanskrit द्यूत  (Source: Wiktionary)	 Sanskrit द्यूत https://en.wiktionary.org/wiki/%E0%A4%A6%E0%A5%8D%E0%A4%AF%E0%A5%82%E0%A4%A4#Sanskrit (Source: Wiktionary)	जुआरी	juārī	جواری	noun	(Delhi) IPA(key): /d͡ʒʊ.ɑː.ɾiː/, [d͡ʒʊ.äː.ɾiː]	m.	gambler	architecture	building components								janela
lampada				lampada	lampada (Source: Dalgado); English lamp (Source: Dalgado)	lampada (Source: Dalgado); English lamp (Source: Dalgado)	English lamp (Source: Dalgado)	लैंप	laimp	لیمپ	noun		m.	lamp										jogar
leilão	3.34	3,011		leilão	leilão (Source: Dalgado)	leilão (Source: Dalgado)		नीलाम	nīlām	 ⁧نیلام⁩	noun	(Delhi Hindi) IPA(key): /niː.lɑːm/, [niː.lä̃ːm]	m 	auction (a public event where goods are sold through bidding)	commerce and business	financial transactions	masc cons-stem	नीलाम	नीलाम	नीलाम	नीलाम	नीलामों	नीलामो	jogar
linguiça				linguiça	linguiça (Source: Dalgado); Sanskrit लिङ्ग+उच्चयः (Source: Platts)	linguiça (Source: Dalgado); Sanskrit लिङ्ग+उच्चयः (Source: Platts)	Sanskrit लिङ्ग+उच्चयः (Source: Platts)	लंगूचा	languchā		noun		m.	a sausage										lampada
mármore				mármore	mármore (Source: Dalgado); Persian مرمر https://en.wiktionary.org/wiki/%D9%85%D8%B1%D9%85%D8%B1#Persian (Source: Wiktionary, McGregor)	mármore (Source: Dalgado); Persian مرمر  (Source: Wiktionary, McGregor)	Persian مرمر https://en.wiktionary.org/wiki/%D9%85%D8%B1%D9%85%D8%B1#Persian (Source: Wiktionary, McGregor)	मरमर	marmar	مرمر	noun	(Delhi) IPA(key): /məɾ.məɾ/, [mɐɾ.mɐɾ]	m.	marble	materials	stone types								leilão
martelo	<0.01	2		martelo	martelo (Source: Dalgado)	martelo (Source: Dalgado)		मारतौल	mārataula	مارتول	noun	(Delhi Hindi) IPA(key): /mɑːɾ.t̪ɔːl/, [mäːɾ.t̪ɔːl]		a heavy hammer, hammer 	objects	tools	masc cons-stem	मारतौल	मारतौल	मारतौल	मारतौल	मारतौलों	मारतौलो	linguiça
mastro	0.24	219		mastro	mastro (Source: Dalgado)	mastro (Source: Dalgado)		मस्तूल	mastūla	مستول	noun	(Delhi) IPA(key): /məs.t̪uːl/, [mɐs.t̪uːl]	m.	mast	nautics	nautical tools, components and materials								mármore
mês				mês	mês (Source: Dalgado)	mês (Source: Dalgado)		मास-कबार	mās-kabār	ماس کَبار	noun		m.	last day of a month, monthly statement										martelo
mesa				mesa	mesa (Source: Dalgado); Persian میز https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%B2#Persian (Source: Wiktionary, McGregor)	mesa (Source: Dalgado); Persian میز  (Source: Wiktionary, McGregor)	Persian میز https://en.wiktionary.org/wiki/%D9%85%DB%8C%D8%B2#Persian (Source: Wiktionary, McGregor)	मेज़	mez	میز	noun	(Delhi) IPA(key): /meːz/, /meːd͡ʒ/	f.	table	furniture	pieces of furniture								mastro
mestiço				mestiço	mestiço (Source: Dalgado)	mestiço (Source: Dalgado)		मस्तीसा	mastīsā	مَستِیسا	noun		m. or f.	half-caste										mês
